Question,A,B,C,D,Answer
在正方体ABCD-A1B2C1D1中，BB1与平面ACD1所成角的余弦值为,\sqrt{3}/2,44960,\sqrt{2}/3,\sqrt{6}/3,D
圆x^2+y^2-2x-2y+1=0上的点到直线x-y=2的距离最大的是,1+2\sqrt{2},2,1+\sqrt{2}/2,1+\sqrt{2},D
若$\sin\alpha * \cos\alpha > 0$，则\alpha在,第一、四象限,第一、二象限,第一、三象限,第二、四象限,C
同时抛掷两枚质地均匀的硬币，则出现两个正面朝上的概率是,$\frac{1}{8}$,$\frac{1}{4}$,$\frac{1}{2}$,$\frac{1}{3}$,B
在三角形ABC中，sinA:sinB:sinC=3:2:4，则cosC的值为,-0.6666666666666666,-0.25,44960,44930,B
"600是数列1*2,2*3,3*4，...的第",25项,24项,30项,20项,B
"设$z=(3-i)/(1+2i)$,则|z|=",2,1,sqrt{3},sqrt{2},D
"设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，且$f(A)=\sqrt{3}sinA-cosA+2$，若$f(A)=3,a=\sqrt{6}, S_{\bigtriangleup ABC}=\sqrt{3}$，则$\bigtriangleup ABC$的周长是",$3\sqrt{3}+\sqrt{6}$,$2\sqrt{2}+\sqrt{6}$,$3\sqrt{2}+\sqrt{6}$,$2\sqrt{3}+\sqrt{6}$,C
"已知空间直⻆坐标系中三点$A(0,1,0),M(\sqrt{2},1,0),N(0,3,\sqrt{2}),O$为坐标原点，则直线 OA 与 MN 所成⻆的余弦值为",\frac{\sqrt{2}}{2},$\frac{\sqrt{6}+\sqrt{2}}{4}$,$\frac{\sqrt{3}}{2}$,0,A
$\cos{\alpha}=4/5$，\alpha 为第四象限角，则$\tan{\alpha}$的值为,-1.3333333333333333,$\pm 4/3$,-0.75,$\pm 3/4$,C
"已知x>0, y>0, x+2y+2xy=8, 则x+2y的最小值是",5.5,3,4,4.5,C
在$\bigtriangleup ABC$中，若c=1，$a=\sqrt{3}$，$\angle A=\frac{2\pi}{3}$，则b为,1,$\frac{\sqrt{10}}{2}$,$\sqrt{7}$,2,A
函数$y=\sqrt{2x+1} + \sqrt{3-4x}$的定义域为,"(-\infty, 1/2]","(-1/2, 3/4)","(1/2,0)\cup (0, \infty)","[-1/2, 3/4]",D
$cos\frac{7}{6}\pi=$,$-\frac{1}{2}$,$\frac{1}{2}$,$-\frac{\sqrt{3}}{2}$,$\frac{\sqrt{3}}{2}$,C
$\frac{1+2i}{1-2i}$等于,$-\frac{3}{5}-\frac{4}{5}i$,$-\frac{4}{5}+\frac{3}{5}i$,$-\frac{3}{5}+\frac{4}{5}i$,$-\frac{4}{5}-\frac{3}{5}i$,C
"把函数y=sin(2x-pi/4)的图像向右平移pi/8,所得到的图像对应的函数为",非奇非偶函数,奇函数,偶函数,既是奇函数又是偶函数,C
在1，2，3，…，10这10个数字中，任取3个数字，那么“这三个数字的和⼤于6”这⼀事件是,以上选项均不正确,必然事件,不可能事件,随机事件,D
"在锐角三角形ABC中，a=1, B=2A，则边b的取值范围为","(sqrt(2),sqrt(3))","(1,2)","(2,3)","(1,3)",A
下列⼏个命题中，①两个⾯平⾏且相似，其余各⾯都是梯形的多⾯体是棱台；②有两个⾯互相平⾏，其余四个⾯都是等腰梯形的六⾯体是棱台；③各侧⾯都是正⽅形的四棱柱⼀定是正⽅体；④分别以矩形两条不等的边所在直线为旋转轴，将矩形旋转，所得到的两个圆柱是两个不同的圆柱。其中正确的有几个。,2,1,4,3,B
有关季⻛的正确叙述是,我国只受东南季⻛的影响,季⻛⽓候都是夏季⾼温多⾬，冬季寒冷⼲燥。,季⻛环流不属于⼤⽓环流,海陆热⼒性质的差异是形成季⻛的重要因素,D
我国⻄北地区某地⽇光温室种植⻩⽠有膜下滴灌、膜下沟灌和沟灌三种灌溉⽅式。膜下滴灌和膜下沟灌是先将⽔灌⼊蓄⽔池中，再给作物根部供⽔，沟灌直接⽤井⽔灌溉，⽥间没有蓄⽔池。病⾍害发⽣程度与⽇光温室的相对湿度有关。膜下滴灌灌⽔⽣产效率最⾼的原因是：a灌⽔量⼩；b蓄⽔池保湿作⽤强；c地膜减少⽔分蒸发；d深层下渗作⽤强,bd,cd,ab,ac,D
世界桥梁最多的城市是,威尼斯,杭州,巴黎,东京,A
下列关于⼤洲的叙述正确的是,非洲的中部和南部是⿊种⼈的故乡,南美洲⽓候南北对称分布,北美洲是世界三⼤宗教的发源地,巴拿⻢运河是亚洲与非洲的分界线,A
世界最深的河谷是,卡利甘达基峡谷,雅鲁藏布江河谷,塔拉河峡谷,淡水河谷,B
导致⽔资源不⾜和⽤⽔紧张的原因是多⽅⾯的，下列说法中与此⽆关的是,兴修⽔利⼯程,⽔污染、⽔浪费严重,⽔资源时空分布不均,⼈类对淡⽔的需求量增⼤,A
下列诗句中，描述⽓候的是,忽如⼀夜春⻛来，千树万树梨花开,夜来⻛⾬声，花落知多少,⼈间四⽉芳菲尽，⼭寺桃花始盛开,东边⽇出⻄边⾬，道是⽆晴却有晴,C
资源型城市是以矿产、森林等⾃然资源开采与加⼯为主导产业的城市，往往会经历从兴起到衰退的过程。资源型城市的共性特点是,资源枯竭，产业效益下降,经济总量不⾜，地⽅财⼒薄弱,产业结构单⼀，资源产业萎缩,采掘业产值占⼯业总产值⽐重较⼤,D
哥本哈根会议向全⼈类提出了“低碳减排”要求，以下做法符合这个要求的（）a烧煤做饭改为烧柴；；b发展沼⽓，改变能源结构；；c街道彻夜灯⽕辉煌；d发展循环经济，提倡清洁⽣产；e经常使⽤⼀次性⽤具。,ac,cd,bd,de,C
新疆优质煤源储量相对不⾜，为保证稳定供给⻄南地区优质煤炭的合理措施是,发展燃⽓电⼒，节省优质煤炭资源,促进煤炭加⼯转换，提⾼附加值,实施疆内“北煤南运”，置换输出,发展集装箱运煤，减少运输损耗,C
应急产业是为突发事件预防与准备、监测与预警、处置与救援提供专业产品和服务的产业。调查发现，应急产业的相关发明专利申请数量较少。2015年，国家开始培育应急产业示范基地，截⾄2020年1⽉，全国仅公布了20家应急产业示范基地，涉及16个地区。我国应急产业相关市场发展潜⼒⼤，其原因不包括,社会经济快速发展，⽣产⽣活、交通安全事故频发,我国⾃然灾害种类多，频次⾼，范围⼴,我国地域⼴阔，⾃然资源丰富,信息⽹络技术快速发展，信息安全事故多,C
地球是我们的家园，⽉球绕地球转，地球绕太阳转，太阳是银河系的⼀颗普通恒星。上述涉及的天体系统层次有,两个,三个,四个,⼀个,B
关于全球变暖的说法正确的是,保护⾬林是减少CO2含量的有效措施,内陆国家距海遥远，不必考虑海平⾯上升和⽓候变暖的影响,全球变暖会使⼤⽓降⽔增多，农作物增产,⾼纬度国家不需要防治全球变暖,A
2015年4⽉25⽇，南亚国尼泊尔发⽣8.1级地震，⼤量外国游客被迫滞留尼泊尔境内，地震发⽣后，中国启动撤侨事宜，接回中国游客，确保中国海外侨⺠的安全，从经济发展⽔平来看，尼泊尔属于,资本主义国家,社会主义国家,发达国家,发展中国家,D
21世纪初期波兰纺织业向现代化转型主要体现在,淘汰纺织业基础产业部⻔,专注纺织业链条⾼端环节,国际市场拓展和品牌建设,产业结构调整和技术升级,D
世界最小的海是,波罗的海,马尔马拉海,里海,地中海,B
⼀直被视为中国南⽅地区和北⽅地区分界线的⼭脉是,大兴安岭,天山山脉,秦岭,巫山,C
世界盐度最低的海是,死海,东海,波罗的海,黄海,C
"在二分类问题中，当测试集的正例和负例数量不均衡时，以下评价方案哪个是相对不合理的（假设precision=TP/(TP+FP),recall=TP/(TP+FN)。）",F-值:2recallprecision/(recall+precision),G-mean:sqrt(precision*recall),准确性:(TP+TN)/all,AUC:ROC曲线下面积,C
深度学习中遇见过拟合下列哪个处理办法不可取,加dropout层,加深层数,数据增强,加正则项,B
假设我们有一个数据集，在一个深度为 6 的决策树的帮助下，它可以使用 100% 的精确度被训练。现在考虑一下两点，并基于这两点选择正确的选项。1.深度为 4 时将有高偏差和低方差；2.深度为 4 时将有低偏差和低方差。注意：所有其他超参数是相同的，所有其他因子不受影响。,1 和 2,只有 2,没有一个,只有 1,D
下列哪些方法不可以用来对高维数据进行降维,LASSO,Bagging,主成分分析法,聚类分析,B
机器学习中L1正则化和L2正则化的区别是,使用L1可以得到稀疏、平滑的权值,使用L2可以得到稀疏、平滑的权值,使用L1可以得到稀疏的权值、使用L2可以得到平滑的权值,使用L2可以得到稀疏的权值、使用L1可以得到平滑的权值,C
下列关于隐马模型和条件随机场模型的说法中错误的是?,隐马模型和隐马模型隐可用于命名实体识别、分词和词性标注的任务,隐马模型和隐马模型都是生成模型,隐马模型不是概率无向图模型,特征的选取和优化会严重影响隐马模型的结果,B
下面哪个/些超参数的增加可能会造成随机森林数据过拟合,学习速率,树的数量,树的深度,以上都不是,C
下面关于迭代二叉树3代算法中说法错误的是,迭代二叉树3代算法是一个二叉树模型,信息增益可以用熵，而不是GINI系数来计算,迭代二叉树3代算法要求特征必须离散化,选取信息增益最大的特征，作为树的根节点,A
下面哪个/些选项对 K 折交叉验证的描述是正确的,如果 K=N，那么其称为留一交叉验证，其中 N 为验证集中的样本数量,更大的 K 值相比于小 K 值将对交叉验证结构有更高的信心,以上都是,增大 K 将导致交叉验证结果时需要更多的时间,C
已知有m个样本，进行n（n<=m）次采样。bootstrap数据是什么意思？,无放回地从总共N个样本中抽样n个样本,无放回地从总共M个特征中抽样m个特征,有放回地从总共N个样本中抽样n个样本,有放回地从总共M个特征中抽样m个特征,C
如果以特征向量的相关系数作为模式相似性测度，则影响聚类算法结果的主要因素有,量纲,已知类别样本质量,以上都不是,分类准则,D
模型训练过程中，我们一般将数据分成,验证集,测试集,训练集,其他选项均可,D
你正在使用带有 L1 正则化的 logistic 回归做二分类，其中 C 是正则化参数，w1 和 w2 是 x1 和 x2 的系数。当你把 C 值从 0 增加至非常大的值时，下面哪个选项是正确的,第一个 w1 成了 0，接着 w2 也成了 0,w1 和 w2 同时成了 0,第一个 w2 成了 0，接着 w1 也成了 0,即使在 C 成为大值之后，w1 和 w2 都不能成 0,D
下列方法中，不可以用于特征降维的方法包括,深度学习SparseAutoEncoder,矩阵奇异值分解SVD,线性判别分析,主成分分析,A
贝叶斯定理求得是什么概率?,先验概率,其它选项都不是,条件概率,联合概率,C
在机器学习中，解释学习器泛化性能中经常用到偏差-方差分解，下列说法不正确的是,方差体现的是学习器预测的稳定性,偏差体现的是学习器预测的准确度,泛化性能是由学习算法的能力、数据的充分性以及学习任务本身的难度所共同决定的,方差指的是预测的期望值与真实值的偏差,D
假如你用logistic Regression 算法去预测电脑销量，当你在新的测试集上验证你的假设时，发现预测值有很大的偏差，并且你的假设在训练集上表现也很差，下面那些步骤你应该避免采纳,尝试着减小正则项 λ,尝试增加交叉特征,增大样本量,尝试更小的测试集或者特征,D
影响基本K-均值算法的主要因素有,初始类中心的选取,聚类准则,样本输入顺序,模式相似性测度,D
高斯混合模型(GMM)是一种什么模型,无监督学习模型,其他选项都不是,半监督学习模型,有监督学习模型,A
关于减轻处罚，下列说法错误的有,犯罪分子不具有法定减轻处罚情节的，绝对不能在法定刑以下判处刑罚,犯罪分子具有减轻处罚情节，但是其所犯之罪具有数个量刑幅度的，只能在法定量刑幅度的下一个量刑幅度内判处刑罚,犯罪分子既有减轻处罚情节，也有从轻处罚情节的，也只能在法定量刑幅度的下一个量刑幅度内判处刑罚,犯罪分子具有减轻处罚情节的，应当在法定刑以下判处刑罚,A
甲、乙、丙、丁组成的合伙组织欠戊30万元债务，则下列表述正确的是,丁仅对自己应当承担的债务份额清偿债务,戊应当按照合伙组织内部按比例偿还债务的约定行使债权,乙有义务清偿欠戊的30万元债务,甲、丙可以不必取得戊的同意而仅清偿20万元债务,C
下列选项中，属于消极义务的是,邻人对他人装修房屋产生噪声的容忍,给付财产,完成工作成果,交付货款,A
下列说法正确的是,丙非法从事资金支付结算业务，获利20万元，丙构成非法经营罪,丁为了能够被破格提拔，买了一辆假冒某名牌的摩托车送给教育局局长印某。丁的行为构成诈骗罪,村长甲将收缴的计划生育罚款1万元占为己有，构成职务侵占罪,乙受黄某之托将价值5万元的手表送给朱某，乙在路上让他人捆绑自己，伪造了抢劫现场，将表占为己有。报案后，乙向警方说自己被抢。乙的行为构成诈骗罪,A
下列选项中，属于合同履行中的附随义务的是,丁将电脑借给同学使用，并告知电脑偶尔有死机的事实,乙按照约定向卖方支付货款,货栈负责人甲接受委托出卖一批商品，甲将货物售卖情况告知委托人,丙去购车，车行交付汽车的同时交给丙购车发票,A
下列说法正确的是,丙认为其妻子被魔鬼附体，只有用火烧，魔鬼才能逃离，为了拯救其妻子，便在其妻子身上浇上汽油，结果将其妻子烧死。由于丙存在迷信思想，属于迷信犯，不构成犯罪,丁误把一个男子当作女子实施强奸，丁构成强奸罪未遂,甲为了让其仇人卢某死亡，便到庙里祈祷让神杀死卢某，因被人发现而被抓获，甲构成故意杀人罪未遂,乙为了杀死周某，买了砒霜放到周某的水杯里，因砒霜失效，周某没有中毒。由于砒霜失效不可能致使周某死亡，故乙不构成犯罪,B
盗窃正在使用中的公路上的井盖的行为，构成,以危险方法危害公共安全罪,破坏交通工具罪,破坏交通设施罪,盗窃罪,C
甲因犯盗窃罪被逮捕，在侦查人员对其审讯期间，甲供述了司法机关尚未掌握的其和乙在火车上持枪抢劫的事实，并协助侦查人员将乙抓获。对甲的抢劫罪,应当从轻或者免除处罚,应当减轻或者免除处罚,可以从轻或者减轻处罚,可以减轻或者免除处罚,D
根据《商标法》的有关规定，商标专用权的保护期限是,15年,20年,30年,10年,D
俞某向孙某声称要购买80克海洛因，孙某便从外地购买了80克海洛因。到达约定交货地点后，俞某掏出仿真手枪威胁孙某，从孙某手中夺取了80克海洛因。此后半年内，因没有找到买主，俞某一直持有80克海洛因。半年后，俞某将80克海洛因送给其毒瘾很大的朋友钱某，钱某因过量吸食海洛因而死亡。关于本案，下列说法正确的是,对俞某应当按照贩卖毒品罪定罪处罚,对俞某应当按照非法持有毒品罪定罪处罚,对俞某应当按照抢劫罪加重构成定罪处罚,对俞某应当按照抢劫罪定罪处罚，但是不属于持枪抢劫,D
以暴力、威胁方法阻碍红十字会工作人员依法履行职责，构成妨害公务罪，必须,情节严重,致人重伤或死亡,造成严重后果,在自然灾害和突发事件中,D
根据《著作权法》的有关规定，下列选项中，不属于邻接权的是,播放者权,表演者权,展览者权,出版者权,C
以营利为目的是犯罪的必备要件的有,洗钱罪,侵犯著作权罪,生产、销售伪劣产品罪,假冒注册商标罪,B
关于收买被拐卖的妇女、儿童罪，下列说法正确的有,对被买儿童没有虐待行为，不阻碍对其进行解救的，可以从轻处罚或者减轻处罚,按照被买妇女的意愿，不阻碍其返回原居住地的，可以从轻、减轻或者免除处罚,对被买儿童，只要不阻碍对其进行解救的，就从轻处罚,对被买儿童没有虐待行为，不阻碍对其进行解救的，可以从轻处罚,D
根据婚姻法规定，中止离婚父母一方行使对子女探望权的实质条件是,不利于子女的身心健康,探望权人居无定所,探望权人未及时给付抚养费,离婚父母之间的关系极端恶化,A
甲将其收藏的一幅齐白石的遗画卖给乙，价金为5万元。甲将价金债权转让给丙并通知了乙。履行期届至前，该画灭失。则,乙不得解除合同并不得拒绝丙的给付请求,乙不得解除合同但得拒绝丙的给付请求,乙得对甲主张解除合同，但不得拒绝丙的给付请求,乙得解除合同并拒绝丙的给付请求,D
绑架妇女、儿童的，可以构成,绑架妇女、儿童罪,绑架罪,绑架罪或者拐卖妇女、儿童罪,绑架罪或者偷盗婴幼儿罪,C
根据《专利法》的有关规定，下列选项表述正确的是,实用新型专利的保护期限是20年，而不是10年,授予发明专利的实体条件包括该发明必须具备新颖性、独创性和实用性特征,强制许可制度仅仅适用于发明和实用新型，而不适用于外观设计,外观设计专利仅仅适用于本国优先权，而不适用于外国优先权,C
行为人甲看到股票交易所的椅子上坐着乙和丙，他们面前放着一个手提包，乙在睡觉，丙在看交易信息。甲以为手提包是乙的，遂上前将手提包拿走，被丙发现。手提包实际上是丙的，丙害怕被甲报复，看着手提包被甲拿走而没有喊叫。甲的行为构成,诈骗罪,盗窃罪,侵占罪,抢夺罪,B
下列选项中，构成刑法中的正当化事由的是,黑夜中的乙以为对方是自己的丈夫而同意发生性关系,甲经过乙的同意将乙的一批货物销毁,医生经病人同意对其实施“安乐死”,丙挑拨丁攻击自己，然后拔刀将丁刺成重伤,B
关于老年人犯罪，下列说法正确的有,已满75岁的人犯罪的，应当一律减轻处罚,已满75岁的人过失犯罪的，应当从轻或者减轻处罚,已满75岁的人故意犯罪的，应当从轻或者减轻处罚,已满75岁的人犯罪的，应当一律免除处罚,B
不以占有作为生效要件的权利或法律行为有,保管合同,留置权,动产质权,抵押权,D
甲在一胡同口抢劫一女青年钱包。抢到钱后，突然发现该女青年是自己的邻居，于是将钱包当面还给女青年，声称刚才的行为是开玩笑。甲的行为是,犯罪中止,犯罪既遂,犯罪预备,犯罪未遂,B
审判的时候怀孕的妇女依法不适用死刑。对这一规定的理解，下列选项错误的是,关押期间人工流产的，属于审判的时候怀孕的妇女,不适用死刑，是指不适用死刑立即执行但可适用死缓,不适用死刑，既包括不适用死刑立即执行，也包括不适用死缓,关押期间自然流产的，属于审判的时候怀孕的妇女,B
根据《专利法》的有关规定，下列选项中可以授予专利权的是,乙发明了对糖尿病特有的治疗方法,丁发明了某植物新品种的生产方法,丙对两种平面印刷品的图案的结合作出的主要起标识作用的设计,甲发明了用以躲避监控机动车超速行驶的雷达的预警电子狗,B
我国《刑法》第13条“但书”的规定，即“情节显著轻微危害不大的，不认为是犯罪”，应理解为,是犯罪不以犯罪论处,是犯罪但应免除处罚,不构成犯罪,是犯罪不以犯罪处罚,C
行为人负刑事责任的哲学根据是,行为人在实施犯罪时有相对的意志自由,行为人在实施犯罪时存在主观罪过,行为人在实施犯罪时有认识能力,行为人在实施犯罪时有违法性认识,A
甲将其朋友丙委托保管的一幅古字画以合理的价格卖给了古画收藏家乙，则关于本案的处理正确的是,甲、乙之间签订的古字画买卖合同须经丙的事后追认才能生效,乙可以取得古字画的所有权,如果甲在卖完字画后又以其并非古字画的所有权人为由主张买卖合同无效，法院应予支持,甲、乙之间签订的古字画买卖合同无效,B
甲开办一间小汽修店，因修理一进口轿车缺零配件，便于晚间在一停车场将一同型号小轿车备用轮胎一个（价值1200元）和发动机（价值5万元）拆下盗走，甲的行为,只构成盗窃罪,只构成破坏交通工具罪,构成盗窃罪和破坏交通工具罪，数罪并罚,构成盗窃罪和破坏交通工具罪，属想象竞合犯，从一重罪即破坏交通工具罪定罪处罚,A
根据《合同法》的有关规定，下列选项中，应当认定为承诺的是,蒋某向沈某发出订立合同的意思表示，韩某得知后立即向蒋某回复：完全同意你方条件，请立即发货。韩某的回复视为承诺,甲向乙发出要约，要求乙1个月内给予答复，过期视为承诺，乙未能如期作出答复,丙向丁发出订立合同的意思表示，丁回复为：同意你方条件，但价格应减半。丁的回复视为承诺,大商场橱窗展示某模特穿的高档服装，杨某看到后立即进入商场向售货员表示购买橱窗内展示的高档服装，大商场表示同意。大商场同意的意思表示属于承诺,D
在下面的例句中，表示“经历”意义、轻读的“过”是,喝过了汤再吃饭,见过周恩来总理的人非常都尊重他,过了一天又一天,小李吃过饭就走了,B
由⼀般原理推导出关于个别情况的结论，这种论证⽅法是,归纳法,对⽐法,类⽐法,演绎法,D
根据句法结构二重性理论，下面关于主语、宾语的正确的说法是,主语一定是施事，宾语一定是受事,主语一定是施事，但是宾语不一定是受事,主语不一定是施事，但宾语一定是受事,主语不一定是施事，宾语也不一字是受事,D
在“我买的书”这个结构中，共包含,两种结构,四种结构,一种结构,三种结构,D
“花儿”的正确拼音应写成,huār,huāer,huā-er,huā,C
由于汉语词类具有多功能的特点，所以在划分汉语的词类应该,根据词意义,根据词的形态变化,在词组平面划分,根据词同句子成分之间的对应,C
