id,question,A,B,C,D,answer
127,下列有关消防水泵接合器安装说法中，错误的是____。,墙壁水泵接合器安装高度距地面宜为1.1m,组装时消防水泵接合器的安装，应按接口、本体、接连管、止回阀、安全阀、放空管、控制阀的顺序进行,止回阀的安装方向应使消防用水能从消防水泵接合器进入系统,消防水泵接合器接口距离室外消火栓或消防水池的距离宜为15～40m,A
128,某应急避难场所安装消防应急照明和疏散指示系统等消防设施，对于面积大于____的防火分区应单独设置应急照明配电箱或应急照明分配电装置。,1000m^2,2000m^2,2500m^2,3000m^2,B
129,某消防设施检测机构对建筑内火灾自动报警系统进行检测时，对手动火灾报警按钮进行检查。根据现行国家消防技术标准，关于手动火灾报警按钮安装的做法，下列选项中不符合规范要求的是____。,墙上手动火灾报警按钮的底边距离楼面高度为1.5m,手动火灾报警按钮的连接导线的余量为150mm,墙上手动火灾报警按钮的底边距离楼面高度为1.3m,手动火灾报警按钮的连接导线的余量为100mm,D
130,厂房内设置甲、乙类中间仓库时，其储量不宜超过____的需要量。,一天,两天,一夜,一昼夜,D
131,总建筑面积大于20000m^2的地下或半地下商业营业厅，应采用无门、窗、洞口的防火墙、耐火极限不低于____h的楼板分隔为多个建筑面积不大于____m^2的区域。,1.0，10000,1.5，15000,2.0，20000,2.5，25000,C
132,下列不属于报警受理系统软件检查内容的是____。,用户信息传输装置模拟手动报警信息，经报警受理系统受理确认以后，检查火警信息终端能否接收、显示、记录及查询监控中心报警受理系统发送的火灾报警信息,用户信息传输装置模拟报警，检查报警受理系统能否对火灾报警信息进行确认和记录归档,用户信息传输装置模拟报警，检查报警受理系统能否接收、显示、记录及查询用户信息传输装置发送的火灾报警信息、建筑消防设施运行状态信息,用户信息传输装置模拟手动报警信息，检查报警受理系统能否将信息上报至火警信息终端,A
133,在火焰中被燃烧，一定时间内仍能正常运行的电缆是____。,一般阻燃电缆,低烟低卤阻燃电缆,无卤阻燃电缆,耐火电缆,D
134,其他气体灭火系统设计中，同一防护区内的预制灭火系统装置多于1台时，必须能同时启动，其动作响应时差不得大于____s。,1,2,15,30,B
135,下列有关室外消火栓的说法，不正确的是____。,建筑室外消火栓的保护半径不应大于150m,工艺装置区采用高压消防给水系统，其周围应设置室外消火栓，消火栓的间距不应大于60m,停车场的室外消火栓与最近一排汽车的距离不宜小于7m,距甲类液体固定顶储罐罐壁20m范围内的室外消火栓，不应计算在该罐可使用的数量内,D
136,根据使用场所不同，闭式细水雾灭火系统可以分为____种形式。,2,3,4,5,B
137,易燃材料的露天堆场宜设置在天然水源充足的地方，并宜布置在本单位或本地区全年最小频率风向的____。,上风侧,下风侧,侧风向,下风或侧风向,A
138,下列设施中，不属于消防车取水用的设施是____。,市政消火栓,水泵接合器,消防水池取水口,消防水鹤,B
139,最小点火能量是指每一种气体爆炸混合物，其起爆所需的____点火能量。,最小,最大,最少,最多,A
140,下列关于电子信息机房灭火系统的设置说法不正确的是____。,A级信息机房的主机房应设置洁净气体灭火系统,B级信息机房的主机房，以及A级和B级机房中的变配电、不间断电源系统和电池室，除了可设置洁净气体灭火系统，也可设置高压细水雾灭火系统,C级信息机房及其他区域，可设置高压细水雾灭火系统或自动喷水灭火系统，自动喷水灭火系统宜采用湿式自动喷水灭火系统,凡设置固定灭火系统及火灾探测器的计算机房，其吊顶的上、下级活动地板下，均应设置探测器和喷嘴,C
141,一、二级耐火等级建筑的上人平屋顶，其屋面的耐火等级分别不应低于____和____。,1.00h，1.00h,1.50h，1.50h,1.50h，1.00h,1.00h，2.00h,C
142,系统的周期性检查维护中，每季度至少进行一次检查与维护的是____。,喷头完好情况,报警阀组的试水阀放水及其启动性能测试,电磁阀启动测试,水泵接合器通水加压测试,B
143,关于爆炸极限在消防上的应用，下列说法错误的是____。,爆炸极限是评定可燃气体火灾危险性大小的依据,爆炸范围越大，下限越低，火灾危险性就越大,根据爆炸极限可以确定建筑物耐火等级、层数、安全疏散距离等,生产、储存爆炸下限＞10%的可燃气体，应选用隔爆型防爆电气设备,D
144,某学校为落实消防安全教育工作，针对不同年龄段的学生分批开展消防安全宣传工作。在各级各类学校开展的消防安全工作中，每名学生在校期间参加消防安全志愿活动应不少于____。,4h,6h,8h,12h,A
145,某大型厂房施工现场，在用电防火方面的下列做法中，符合现行国家标准要求的是____。,堆放的可燃物，距配电屏1.8m,产生粉尘的作业区距配电屏6m,普通灯具与易燃物的距离为0.2m,碘钨灯具与易燃物的距离为0.4m,B
146,下列几种常见的易燃或可燃液体中，火灾危险性最大的是____。,甲醇,酒精,丙酮,苯,C
147,某单位对自动喷水灭火系统的报警阀密封性进行测试时，做法正确的是____。,试验压力为3.0MPa，保压时间不少于3min,试验压力为3.0MPa，保压时间不少于5min,试验压力为额定工作压力2倍的静水压力，保压时间不少于5min,试验压力为额定工作压力2倍的静水压力，保压时间不少于3min,C
148,火灾自动报警系统对火灾声光警报器进行调试，逐一将火灾声光警报器与火灾报警控制器相连，接通电源。操作火灾报警控制器使火灾声光警报器启动，火灾声光警报器的光信号在100～500lx环境光线下____m处应清晰可见。,15,25,35,45,B
149,某商场储存间储存有樟脑、松香、植物食用油和泡沫塑料等物品，则该储存间的火灾危险性应为____。,甲类,乙类,丙类,丁类,B
150,火灾自动报警系统可燃气体探测器，撤去可燃气体，探测器应在____内恢复到正常监视状态。,60s,80s,100s,120s,A
151,消防控制室实行每日24h专人值班制度，每班不少于____，值班人员持有规定的消防专业技能鉴定证书。,1人,2人,3人,4人,B
152,中国实行可持续发展的核心是：____,发展是关键,经济增长为主,人民生活水平提高,自然资源合理利用B.季节性特点,A
153,采用下玻璃温室生产蔬菜、花卉，属于农业分类中的：____,粗放农业,自给农业,种植园农业,密集农业,D
154,下列有关昼夜长短状况的叙述正确的是：____,9月23日赤道昼大于夜,12月22日南半球昼小于夜,6月22日北半球昼大于夜,3月21日有北极圈上出现极昼现象,C
155,洋流因产生的动力不同，可分为____,风海流、暖流、寒流,补偿流、暖流、寒流,密度流、寒流、暖流,风海流、补偿流、密度流,D
156,圣诞节这天，下列城市中白昼最短的是____,广州,哈尔滨,北京,上海,B
157,有关台风的叙述：①台风常发生在秋冬季节；②台风现象只发生在西太平洋上；③台风是一种强烈发展的温带锋面气旋；④台风是一种在海面上强烈发展的热带气旋；⑤飓风和台风都是热带气旋，只是发生的海域不同而名称各异。其中正确的是____,①②③,②③④,①⑤,④⑤,D
158,下列不以秦岭――淮河一线为分界线的是____,亚热带季风气候和温带季风气候,水田农业和旱地农业,农耕区和牧业区,湿润地区与半湿润地区,C
159,高技术工业区通常的特点有____,研究开发人员多,生产产品全部面向国内市场,产品更新换代快,从业人员全部是科学家和工程师,C
160,农业社会时期，爪哇岛上人口聚集的原因是____,河流众多,土壤的肥力高,交通便利,气候适宜,B
161,地球内部圈层划分的依据是____,地震波速度的变化,温度的垂直变化,内部压力的变化,物质密度的变化,A
162,亚洲水稻种植业的特点是____,"单产高,商品率高","人均耕地较多,多大规模经营","人力为主,机械化水平低","水热资源丰富,水利工程量小",C
163,该县境内雅鲁藏布江河段航运价值低，其主要原因是____,封冻期长,落差大,流量小,含沙量大,B
164,可以看见下弦月的时间是____,上半夜,下半夜,子夜前后,整个夜晚,B
165,这片广袤的黄土地已经被水流蚀割得沟壑纵横，支离破碎，四分五裂，像老年人的一张粗糙的皱脸每年流入黄河的泥沙就达十六亿吨!就在这大自然无数黄色的皱褶中，世世代代生活和繁衍着千千万万的人。无论沿着哪一条皱纹走进去，你都能碰见村落和人烟，而且密集得叫你不可思议。生活在黄土所在地区的人们____,受热量条件制约，选择在河谷地区修路建村,借黄土肥沃优势，发展了大规模机械化农业,不合理耕作破坏植被，导致石漠化现象严重,通过植树种草及打坝淤地进行有效水土保持,D
166,黄土高原最大的环境问题是____,荒漠化,水土流失,酸雨,气候变暖,B
167,荷兰出口的花卉占世界花卉贸易总额的40%以上，这并不得益于____,保鲜、冷藏技术的发展和交通运输的完善,花卉品种不断增多，质量不断提高,依靠科技发展玻璃温室，改造自然条件,以较低的价格赢得市场,D
168,与广西相比，巴西发展食糖业的突出优势是____,生产成本低,产品质量高,加工技术先进,社会协作条件好,A
169,1992年韩国三星电子在惠州建工厂首要的有利条件是____,劳动力充足，薪资水平低,我国市场巨大,治理污染费用较低,地价便宜,A
170,下列天体系统中不包括地球的是____,总星系,河外星系,银河系,太阳系,B
171,患者的下列哪种表现有可能不是因为焦虑引起的？____,敏感多疑,丢三落四,手心出汗,失眠,A
172,与亚急性甲状腺炎有关的症状为____,肌无力,干燥综合征,发热伴甲状腺肿痛,皮肤紫瘴,C
173,约60%足月儿和80%以上的早产儿可于生后____,生后1～2天出现黄疸,生后2～3天出现黄疸,生后2～4天出现黄疸,生后2～5天出现黄疸,D
174,给胃癌患者实施直肠指诊检查的目的是了解有无____,种植转移,淋巴转移,血行转移,直接浸润,A
175,充血性心力衰竭所产生的胸腔积液为____,漏出液,渗出液,脓性胸液,血性胸液,A
176,有排石史，发现左肾内有一直径0.4cm的结石，首选____,观察，多饮水,体外冲击波碎石,输尿管镜取石碎石术,开放手术,A
177,食物中每克碳水化合物、脂肪和蛋白质可供给能量(kcal)分别为____,4，9，4,9，4，4,4，9，9,9，9，4,A
178,裸露病毒体的结构中不包括____,DNA,RNA,衣壳,包膜,D
179,胎盘早剥发生产后出血的原因____,子宫下段组织脆弱收缩力差,子宫下段血运丰富,两者均有关,两者均无关,D
180,前置胎盘发生产后出血的原因____,子宫下段组织脆弱收缩力差,子宫下段血运丰富,两者均有关,两者均无关,C
181,足月儿出生7天后出现黄疸，下列哪项诊断是不可能的____,败血症,ABO溶血病,新生儿肺炎,胆道闭锁,B
182,下列哪项不是医疗机构应当在12小时内向当地卫生行政部门报告的重大医疗过失行为____,发生死亡的,有重度残疾的,有中度残疾的,同时二人人身损害后果的,D
183,公民在医院就医需要用血时，只需交付的费用包括____,用于血液的采集、储存、分离、检验等费用,用于血液的包装、储存、运输费用,医院为患者输血过程所产生的费用,血液采供血的费用和血液的价格 行政部门会同国务院价格主管部门制定。,A
184,不能引起肺部化脓性病变的病原体是____,金黄色葡萄球菌,肺炎杆菌,肺炎球菌,嗜肺性军团杆菌,C
185,关于肿瘤的转移错误的是____,胃癌可转移至盆腔,乳癌可转移至锁骨上淋巴结,交界性肿瘤不出现转移,肝癌可出现脑转移,C
186,三个关节同时受累，称为____,单关节炎,多关节炎,对称性关节炎,少关节炎,D
187,6个月女婴，因贫血住院，试验检查血清叶酸小于3μg/L，诊断营养性巨幼红细胞贫血，给予叶酸治疗，为了提高疗效，应同时服____,VitB2,VitD,VitC,VitA,C
188,女性，40岁，参加婚宴后右上腹痛，呈剧烈绞痛，查体见表情痛苦不安。对该患者在确诊前应禁忌的处置是____,镇痛药止痛,抗生素消炎,急查血常规,行PTC检查,A
189,正常情况下，小儿颈曲形成的时间是____,7个月,6个月,4个月,3个月,D
190,抢救急性一氧化碳中毒，尽快纠正组织缺氧效果最佳的是哪项____,迅速离开现场,吸氧,输血,高压氧舱治疗,D
191,补钾速度一般每小时不宜超过____,10mmol,20mmol,30mmol,40mmol,B
192,经典途径激活补体的抗原抗体复合物____,SigA与抗原组成的复合物,1个lgM与抗原组成的复合物,1个lgG与抗原组成的复合物,1个lgE与抗原组成的复合物,B
193,心理治疗成功的关键是____,以上均是,医生的医术,良好的医患关系,家属的配合,A
194,下列各种引流管，不正确的处理是____,要注意观察各种引流管是否通畅,仔细记录引流液的色泽和容量,留置胆管内的“T”形管可在术后1周拔除,胃肠功能恢复后可将胃肠减压管除去,C
195,婴幼儿心理卫生最主要的任务是____,继胎教后立即开始生后相关训练,经常给孩子以爱抚,创造尽可能好的生活环境,抓住关键期，促进认知情感的健康发展,D
196,目前认为多数人类肾小球疾病是____,遗传性疾病,是细菌感染性疾病,免疫介导的疾病,免疫缺陷性疾病,C
197,等渗性脱水多源于____。,急性胃肠炎腹泻，呕吐不止,慢性肠梗阻,剧烈运动大量出汗,低位小肠漏,A
198,属于Ⅳ型超敏反应的疾病是____,血清过敏性休克,接触性皮炎,类风湿性关节炎,新生儿溶血症,B
199,早期出现肺门及纵膈多发淋巴结转移的肺癌类型是____,鳞癌,大细胞肺癌,小细胞肺癌,腺癌,D
